,Date,AveragePrice,Total Volume,year,region,type
47,2015-02-01,0.99,70873.6,2015,Albany,conventional
48,2015-01-25,1.06,45147.5,2015,Albany,conventional
49,2015-01-18,1.17,44511.28,2015,Albany,conventional
50,2015-01-11,1.24,41195.08,2015,Albany,conventional
51,2015-01-04,1.22,40873.28,2015,Albany,conventional
52,2015-12-27,0.99,386100.49,2015,Atlanta,conventional
53,2015-12-20,1.08,331377.53,2015,Atlanta,conventional
54,2015-12-13,0.96,417772.47,2015,Atlanta,conventional
55,2015-12-06,1.07,357636.82,2015,Atlanta,conventional
56,2015-11-29,0.99,333280.79,2015,Atlanta,conventional
57,2015-11-22,1.0,356414.57,2015,Atlanta,conventional
58,2015-11-15,1.13,339860.68,2015,Atlanta,conventional
59,2015-11-08,1.12,334041.6,2015,Atlanta,conventional
60,2015-11-01,0.99,419088.74,2015,Atlanta,conventional
61,2015-10-25,1.09,358478.08,2015,Atlanta,conventional
62,2015-10-18,1.09,349072.48,2015,Atlanta,conventional
63,2015-10-11,0.95,433874.46,2015,Atlanta,conventional
64,2015-10-04,0.96,418682.26,2015,Atlanta,conventional
65,2015-09-27,1.07,370321.17,2015,Atlanta,conventional
66,2015-09-20,0.93,516432.6,2015,Atlanta,conventional
67,2015-09-13,1.07,417232.18,2015,Atlanta,conventional
68,2015-09-06,0.97,472136.53,2015,Atlanta,conventional
69,2015-08-30,1.15,382972.72,2015,Atlanta,conventional
70,2015-08-23,1.12,379054.29,2015,Atlanta,conventional
71,2015-08-16,1.09,465213.81,2015,Atlanta,conventional
72,2015-08-09,1.01,503791.72,2015,Atlanta,conventional
73,2015-08-02,1.15,405898.44,2015,Atlanta,conventional
74,2015-07-26,1.08,437377.75,2015,Atlanta,conventional
75,2015-07-19,0.97,557212.99,2015,Atlanta,conventional
76,2015-07-12,1.14,407204.88,2015,Atlanta,conventional
77,2015-07-05,1.01,562462.33,2015,Atlanta,conventional
78,2015-06-28,1.13,435210.71,2015,Atlanta,conventional
79,2015-06-21,0.99,554763.76,2015,Atlanta,conventional
80,2015-06-14,1.1,465804.78,2015,Atlanta,conventional
81,2015-06-07,0.99,551009.05,2015,Atlanta,conventional
82,2015-05-31,1.1,454702.0,2015,Atlanta,conventional
83,2015-05-24,0.96,623212.04,2015,Atlanta,conventional
84,2015-05-17,1.11,451250.7,2015,Atlanta,conventional
85,2015-05-10,1.1,480071.18,2015,Atlanta,conventional
86,2015-05-03,1.0,634213.1,2015,Atlanta,conventional
87,2015-04-26,1.12,448596.76,2015,Atlanta,conventional
88,2015-04-19,1.12,430966.34,2015,Atlanta,conventional
89,2015-04-12,0.99,451101.89,2015,Atlanta,conventional
90,2015-04-05,1.04,383139.49,2015,Atlanta,conventional
91,2015-03-29,1.11,365722.14,2015,Atlanta,conventional
92,2015-03-22,1.0,479590.62,2015,Atlanta,conventional
93,2015-03-15,1.12,399566.22,2015,Atlanta,conventional
94,2015-03-08,1.1,420826.32,2015,Atlanta,conventional
95,2015-03-01,0.99,512532.44,2015,Atlanta,conventional
96,2015-02-22,1.1,431308.56,2015,Atlanta,conventional
97,2015-02-15,1.06,427391.28,2015,Atlanta,conventional
98,2015-02-08,1.03,433883.91,2015,Atlanta,conventional
99,2015-02-01,0.96,636771.37,2015,Atlanta,conventional
100,2015-01-25,1.1,449332.85,2015,Atlanta,conventional
101,2015-01-18,1.11,431490.99,2015,Atlanta,conventional
102,2015-01-11,1.11,397542.72,2015,Atlanta,conventional
103,2015-01-04,1.0,435021.49,2015,Atlanta,conventional
104,2015-12-27,1.17,596819.4,2015,BaltimoreWashington,conventional
105,2015-12-20,1.11,642682.4,2015,BaltimoreWashington,conventional
106,2015-12-13,1.15,619509.33,2015,BaltimoreWashington,conventional
107,2015-12-06,1.04,649141.25,2015,BaltimoreWashington,conventional
108,2015-11-29,1.16,545800.05,2015,BaltimoreWashington,conventional
109,2015-11-22,1.12,572019.8,2015,BaltimoreWashington,conventional
110,2015-11-15,1.04,718330.48,2015,BaltimoreWashington,conventional
111,2015-11-08,1.05,830967.23,2015,BaltimoreWashington,conventional
112,2015-11-01,1.12,742220.67,2015,BaltimoreWashington,conventional
113,2015-10-25,1.19,656892.03,2015,BaltimoreWashington,conventional
114,2015-10-18,0.99,1005603.78,2015,BaltimoreWashington,conventional
115,2015-10-11,1.24,653560.14,2015,BaltimoreWashington,conventional
116,2015-10-04,1.28,657444.04,2015,BaltimoreWashington,conventional
117,2015-09-27,1.19,696281.81,2015,BaltimoreWashington,conventional
118,2015-09-20,1.17,709268.62,2015,BaltimoreWashington,conventional
119,2015-09-13,1.09,924993.61,2015,BaltimoreWashington,conventional
120,2015-09-06,1.18,823623.36,2015,BaltimoreWashington,conventional
121,2015-08-30,1.24,734721.29,2015,BaltimoreWashington,conventional
122,2015-08-23,1.16,783935.36,2015,BaltimoreWashington,conventional
123,2015-08-16,1.14,882754.72,2015,BaltimoreWashington,conventional
124,2015-08-09,1.16,821523.45,2015,BaltimoreWashington,conventional
125,2015-08-02,1.17,800603.23,2015,BaltimoreWashington,conventional
126,2015-07-26,1.2,772926.12,2015,BaltimoreWashington,conventional
127,2015-07-19,1.18,800194.34,2015,BaltimoreWashington,conventional
128,2015-07-12,1.1,850931.58,2015,BaltimoreWashington,conventional
129,2015-07-05,1.16,896298.77,2015,BaltimoreWashington,conventional
130,2015-06-28,1.15,862261.64,2015,BaltimoreWashington,conventional
131,2015-06-21,1.16,862840.73,2015,BaltimoreWashington,conventional
132,2015-06-14,1.09,955046.82,2015,BaltimoreWashington,conventional
133,2015-06-07,1.26,794310.29,2015,BaltimoreWashington,conventional
134,2015-05-31,1.19,949177.06,2015,BaltimoreWashington,conventional
135,2015-05-24,1.18,908661.83,2015,BaltimoreWashington,conventional
136,2015-05-17,1.27,790853.86,2015,BaltimoreWashington,conventional
137,2015-05-10,1.26,855205.82,2015,BaltimoreWashington,conventional
138,2015-05-03,1.17,896972.05,2015,BaltimoreWashington,conventional
139,2015-04-26,1.29,747841.09,2015,BaltimoreWashington,conventional
140,2015-04-19,1.28,762862.62,2015,BaltimoreWashington,conventional
141,2015-04-12,1.15,837629.62,2015,BaltimoreWashington,conventional
142,2015-04-05,1.29,688065.45,2015,BaltimoreWashington,conventional
143,2015-03-29,1.25,663677.32,2015,BaltimoreWashington,conventional
144,2015-03-22,1.1,808897.21,2015,BaltimoreWashington,conventional
145,2015-03-15,1.24,693698.13,2015,BaltimoreWashington,conventional
146,2015-03-08,1.26,657745.9,2015,BaltimoreWashington,conventional
147,2015-03-01,1.16,770115.24,2015,BaltimoreWashington,conventional
148,2015-02-22,1.11,749845.79,2015,BaltimoreWashington,conventional
149,2015-02-15,1.25,637319.34,2015,BaltimoreWashington,conventional
150,2015-02-08,1.09,844931.21,2015,BaltimoreWashington,conventional
151,2015-02-01,1.06,1007418.76,2015,BaltimoreWashington,conventional
152,2015-01-25,1.2,692934.46,2015,BaltimoreWashington,conventional
153,2015-01-18,1.23,657741.34,2015,BaltimoreWashington,conventional
154,2015-01-11,1.17,670231.94,2015,BaltimoreWashington,conventional
155,2015-01-04,1.08,788025.06,2015,BaltimoreWashington,conventional
156,2015-12-27,0.97,62909.69,2015,Boise,conventional
157,2015-12-20,1.03,57504.05,2015,Boise,conventional
158,2015-12-13,0.99,58461.05,2015,Boise,conventional
159,2015-12-06,0.71,95295.34,2015,Boise,conventional
160,2015-11-29,1.06,49069.13,2015,Boise,conventional
161,2015-11-22,1.09,52875.58,2015,Boise,conventional
162,2015-11-15,1.01,68648.22,2015,Boise,conventional
163,2015-11-08,1.11,55847.79,2015,Boise,conventional
164,2015-11-01,1.14,53585.51,2015,Boise,conventional
165,2015-10-25,1.11,59874.45,2015,Boise,conventional
166,2015-10-18,1.16,54191.14,2015,Boise,conventional
167,2015-10-11,0.94,80904.19,2015,Boise,conventional
168,2015-10-04,1.12,59496.33,2015,Boise,conventional
169,2015-09-27,0.99,64187.8,2015,Boise,conventional
170,2015-09-20,1.03,73952.9,2015,Boise,conventional
171,2015-09-13,1.08,64208.84,2015,Boise,conventional
172,2015-09-06,1.16,64464.61,2015,Boise,conventional
173,2015-08-30,1.19,60099.83,2015,Boise,conventional
174,2015-08-23,1.05,70773.76,2015,Boise,conventional
175,2015-08-16,1.12,64001.61,2015,Boise,conventional
176,2015-08-09,1.1,61286.98,2015,Boise,conventional
177,2015-08-02,1.07,67763.91,2015,Boise,conventional
178,2015-07-26,1.07,67826.07,2015,Boise,conventional
179,2015-07-19,1.09,63958.04,2015,Boise,conventional
180,2015-07-12,1.05,74677.72,2015,Boise,conventional
181,2015-07-05,1.15,85044.45,2015,Boise,conventional
182,2015-06-28,1.04,75280.41,2015,Boise,conventional
183,2015-06-21,1.06,81397.07,2015,Boise,conventional
184,2015-06-14,0.99,87607.71,2015,Boise,conventional
185,2015-06-07,1.12,80751.29,2015,Boise,conventional
186,2015-05-31,0.97,76689.38,2015,Boise,conventional
187,2015-05-24,1.03,83209.77,2015,Boise,conventional
188,2015-05-17,0.96,77987.53,2015,Boise,conventional
189,2015-05-10,1.06,95788.53,2015,Boise,conventional
190,2015-05-03,1.0,85466.99,2015,Boise,conventional
191,2015-04-26,0.96,88111.17,2015,Boise,conventional
192,2015-04-19,0.99,89694.96,2015,Boise,conventional
193,2015-04-12,1.19,66246.3,2015,Boise,conventional
194,2015-04-05,1.09,76704.46,2015,Boise,conventional
195,2015-03-29,0.98,74543.98,2015,Boise,conventional
196,2015-03-22,1.17,61419.11,2015,Boise,conventional
197,2015-03-15,1.0,65918.28,2015,Boise,conventional
198,2015-03-08,1.14,65350.24,2015,Boise,conventional
199,2015-03-01,1.06,75046.37,2015,Boise,conventional
200,2015-02-22,0.99,76836.1,2015,Boise,conventional
201,2015-02-15,1.14,61221.98,2015,Boise,conventional
202,2015-02-08,1.07,69970.75,2015,Boise,conventional
203,2015-02-01,0.91,113578.24,2015,Boise,conventional
204,2015-01-25,1.03,66069.21,2015,Boise,conventional
205,2015-01-18,1.08,62870.49,2015,Boise,conventional
206,2015-01-11,1.18,57355.52,2015,Boise,conventional
207,2015-01-04,1.01,80034.32,2015,Boise,conventional
208,2015-12-27,1.13,450816.39,2015,Boston,conventional
209,2015-12-20,1.07,489802.88,2015,Boston,conventional
210,2015-12-13,1.01,549945.76,2015,Boston,conventional
211,2015-12-06,1.02,488679.31,2015,Boston,conventional
212,2015-11-29,1.19,350559.81,2015,Boston,conventional
213,2015-11-22,1.07,466759.99,2015,Boston,conventional
214,2015-11-15,1.05,513738.98,2015,Boston,conventional
215,2015-11-08,1.04,641759.57,2015,Boston,conventional
216,2015-11-01,1.06,553096.84,2015,Boston,conventional
217,2015-10-25,1.02,534249.47,2015,Boston,conventional
218,2015-10-18,0.94,725296.29,2015,Boston,conventional
219,2015-10-11,1.14,485706.68,2015,Boston,conventional
220,2015-10-04,1.07,536479.42,2015,Boston,conventional
221,2015-09-27,1.07,553307.04,2015,Boston,conventional
222,2015-09-20,1.15,498640.23,2015,Boston,conventional
223,2015-09-13,1.03,655682.95,2015,Boston,conventional
224,2015-09-06,1.11,577774.74,2015,Boston,conventional
225,2015-08-30,1.13,526664.87,2015,Boston,conventional
226,2015-08-23,1.07,589471.32,2015,Boston,conventional
227,2015-08-16,1.15,565795.06,2015,Boston,conventional
228,2015-08-09,1.07,690517.19,2015,Boston,conventional
229,2015-08-02,1.17,571994.5,2015,Boston,conventional
230,2015-07-26,1.28,500233.69,2015,Boston,conventional
231,2015-07-19,1.18,597168.12,2015,Boston,conventional
232,2015-07-12,1.14,634515.74,2015,Boston,conventional
233,2015-07-05,1.27,582909.73,2015,Boston,conventional
234,2015-06-28,1.25,560494.92,2015,Boston,conventional
235,2015-06-21,1.24,543504.66,2015,Boston,conventional
236,2015-06-14,1.08,684346.48,2015,Boston,conventional
237,2015-06-07,1.25,562542.86,2015,Boston,conventional
238,2015-05-31,1.26,565160.95,2015,Boston,conventional
239,2015-05-24,1.14,633521.98,2015,Boston,conventional
240,2015-05-17,1.26,534488.54,2015,Boston,conventional
241,2015-05-10,1.14,625558.14,2015,Boston,conventional
242,2015-05-03,1.17,552368.94,2015,Boston,conventional
243,2015-04-26,1.28,465911.37,2015,Boston,conventional
244,2015-04-19,1.15,504619.83,2015,Boston,conventional
245,2015-04-12,1.26,408485.16,2015,Boston,conventional
246,2015-04-05,1.27,449818.01,2015,Boston,conventional
247,2015-03-29,1.19,453631.25,2015,Boston,conventional
248,2015-03-22,1.18,453173.22,2015,Boston,conventional
249,2015-03-15,1.25,417750.36,2015,Boston,conventional
250,2015-03-08,1.17,408403.96,2015,Boston,conventional
251,2015-03-01,1.11,485736.1,2015,Boston,conventional
252,2015-02-22,1.23,355432.28,2015,Boston,conventional
253,2015-02-15,1.2,399883.99,2015,Boston,conventional
254,2015-02-08,1.04,609985.34,2015,Boston,conventional
255,2015-02-01,1.22,490022.14,2015,Boston,conventional
256,2015-01-25,1.17,409343.56,2015,Boston,conventional
257,2015-01-18,1.23,401331.33,2015,Boston,conventional
258,2015-01-11,1.1,437771.89,2015,Boston,conventional
259,2015-01-04,1.02,491738.0,2015,Boston,conventional
260,2015-12-27,1.35,96233.08,2015,BuffaloRochester,conventional
261,2015-12-20,1.37,90867.51,2015,BuffaloRochester,conventional
262,2015-12-13,1.35,98473.23,2015,BuffaloRochester,conventional
263,2015-12-06,1.23,108457.82,2015,BuffaloRochester,conventional
264,2015-11-29,1.39,79973.14,2015,BuffaloRochester,conventional
265,2015-11-22,1.4,90242.31,2015,BuffaloRochester,conventional
266,2015-11-15,1.36,99703.72,2015,BuffaloRochester,conventional
267,2015-11-08,1.3,111038.95,2015,BuffaloRochester,conventional
268,2015-11-01,1.23,118541.11,2015,BuffaloRochester,conventional
269,2015-10-25,1.36,99554.55,2015,BuffaloRochester,conventional
270,2015-10-18,1.29,106083.75,2015,BuffaloRochester,conventional
271,2015-10-11,1.3,109153.84,2015,BuffaloRochester,conventional
272,2015-10-04,1.33,98900.48,2015,BuffaloRochester,conventional
273,2015-09-27,1.31,90745.72,2015,BuffaloRochester,conventional
274,2015-09-20,1.54,60624.47,2015,BuffaloRochester,conventional
275,2015-09-13,1.59,73043.2,2015,BuffaloRochester,conventional
276,2015-09-06,1.56,76139.58,2015,BuffaloRochester,conventional
277,2015-08-30,1.38,83731.42,2015,BuffaloRochester,conventional
278,2015-08-23,1.49,68953.29,2015,BuffaloRochester,conventional
279,2015-08-16,1.5,69798.09,2015,BuffaloRochester,conventional
280,2015-08-09,1.47,81830.13,2015,BuffaloRochester,conventional
281,2015-08-02,1.47,78162.92,2015,BuffaloRochester,conventional
282,2015-07-26,1.39,91825.07,2015,BuffaloRochester,conventional
283,2015-07-19,1.36,128846.15,2015,BuffaloRochester,conventional
284,2015-07-12,1.45,127351.46,2015,BuffaloRochester,conventional
285,2015-07-05,1.47,140413.9,2015,BuffaloRochester,conventional
286,2015-06-28,1.36,137246.7,2015,BuffaloRochester,conventional
287,2015-06-21,1.5,108655.36,2015,BuffaloRochester,conventional
288,2015-06-14,1.34,149376.79,2015,BuffaloRochester,conventional
289,2015-06-07,1.38,130908.11,2015,BuffaloRochester,conventional
290,2015-05-31,1.4,130841.08,2015,BuffaloRochester,conventional
291,2015-05-24,1.43,121942.61,2015,BuffaloRochester,conventional
292,2015-05-17,1.35,137050.23,2015,BuffaloRochester,conventional
293,2015-05-10,1.33,170547.18,2015,BuffaloRochester,conventional
294,2015-05-03,1.42,136771.79,2015,BuffaloRochester,conventional
295,2015-04-26,1.41,136964.3,2015,BuffaloRochester,conventional
296,2015-04-19,1.42,139612.52,2015,BuffaloRochester,conventional
297,2015-04-12,1.42,118172.53,2015,BuffaloRochester,conventional
298,2015-04-05,1.44,124145.62,2015,BuffaloRochester,conventional
299,2015-03-29,1.39,119890.65,2015,BuffaloRochester,conventional
300,2015-03-22,1.4,119902.96,2015,BuffaloRochester,conventional
301,2015-03-15,1.47,103413.11,2015,BuffaloRochester,conventional
302,2015-03-08,1.35,125724.96,2015,BuffaloRochester,conventional
303,2015-03-01,1.43,112363.86,2015,BuffaloRochester,conventional
304,2015-02-22,1.41,109546.92,2015,BuffaloRochester,conventional
305,2015-02-15,1.44,100207.14,2015,BuffaloRochester,conventional
306,2015-02-08,1.36,132760.1,2015,BuffaloRochester,conventional
307,2015-02-01,1.33,153920.35,2015,BuffaloRochester,conventional
308,2015-01-25,1.5,114052.94,2015,BuffaloRochester,conventional
309,2015-01-18,1.52,107040.29,2015,BuffaloRochester,conventional
310,2015-01-11,1.54,106221.32,2015,BuffaloRochester,conventional
311,2015-01-04,1.4,116253.44,2015,BuffaloRochester,conventional
312,2015-12-27,0.9,5040365.47,2015,California,conventional
313,2015-12-20,0.94,4695737.21,2015,California,conventional
314,2015-12-13,0.87,5259354.3,2015,California,conventional
315,2015-12-06,0.78,5775536.27,2015,California,conventional
316,2015-11-29,0.91,4575710.62,2015,California,conventional
317,2015-11-22,0.92,4804278.16,2015,California,conventional
318,2015-11-15,0.83,5755190.69,2015,California,conventional
319,2015-11-08,0.98,5148983.51,2015,California,conventional
320,2015-11-01,0.95,5830427.96,2015,California,conventional
321,2015-10-25,1.12,4592461.81,2015,California,conventional
322,2015-10-18,1.07,4999031.79,2015,California,conventional
323,2015-10-11,1.08,5063309.38,2015,California,conventional
324,2015-10-04,1.02,4943781.29,2015,California,conventional
325,2015-09-27,1.04,5216784.63,2015,California,conventional
326,2015-09-20,1.14,4759791.13,2015,California,conventional
327,2015-09-13,1.13,5106508.12,2015,California,conventional
328,2015-09-06,1.09,5806392.78,2015,California,conventional
329,2015-08-30,1.08,5647385.15,2015,California,conventional
330,2015-08-23,1.18,5193221.0,2015,California,conventional
331,2015-08-16,1.11,5616434.08,2015,California,conventional
332,2015-08-09,1.1,6232081.27,2015,California,conventional
333,2015-08-02,1.16,5428238.87,2015,California,conventional
334,2015-07-26,1.13,5557616.27,2015,California,conventional
335,2015-07-19,1.18,5225200.52,2015,California,conventional
336,2015-07-12,1.13,5451636.92,2015,California,conventional
337,2015-07-05,1.12,6718011.83,2015,California,conventional
338,2015-06-28,1.1,5641742.02,2015,California,conventional
339,2015-06-21,1.07,5952597.29,2015,California,conventional
340,2015-06-14,0.97,6741662.31,2015,California,conventional
341,2015-06-07,0.98,6374842.9,2015,California,conventional
342,2015-05-31,0.98,6236903.31,2015,California,conventional
343,2015-05-24,1.1,5621713.64,2015,California,conventional
344,2015-05-17,1.08,5289138.5,2015,California,conventional
345,2015-05-10,0.93,6650357.96,2015,California,conventional
346,2015-05-03,0.88,8567534.49,2015,California,conventional
347,2015-04-26,1.15,4923565.04,2015,California,conventional
348,2015-04-19,1.05,5871080.81,2015,California,conventional
349,2015-04-12,1.06,5636644.51,2015,California,conventional
350,2015-04-05,1.12,5467155.55,2015,California,conventional
351,2015-03-29,1.1,5341821.67,2015,California,conventional
352,2015-03-22,1.06,5571812.77,2015,California,conventional
353,2015-03-15,1.06,5557163.11,2015,California,conventional
354,2015-03-08,0.96,5990243.89,2015,California,conventional
355,2015-03-01,0.84,6700134.25,2015,California,conventional
356,2015-02-22,0.96,5951871.32,2015,California,conventional
357,2015-02-15,0.96,5699944.93,2015,California,conventional
358,2015-02-08,0.91,5871224.58,2015,California,conventional
359,2015-02-01,0.85,9032180.67,2015,California,conventional
360,2015-01-25,1.06,4929884.26,2015,California,conventional
361,2015-01-18,1.02,5570915.26,2015,California,conventional
362,2015-01-11,0.92,6024932.34,2015,California,conventional
363,2015-01-04,0.93,5777334.9,2015,California,conventional
364,2015-12-27,0.96,156698.24,2015,Charlotte,conventional
365,2015-12-20,0.98,139917.89,2015,Charlotte,conventional
366,2015-12-13,0.95,157146.19,2015,Charlotte,conventional
367,2015-12-06,0.99,156114.08,2015,Charlotte,conventional
368,2015-11-29,0.95,138858.86,2015,Charlotte,conventional
369,2015-11-22,1.0,133618.33,2015,Charlotte,conventional
370,2015-11-15,1.01,169281.16,2015,Charlotte,conventional
371,2015-11-08,1.03,164322.04,2015,Charlotte,conventional
372,2015-11-01,1.11,171793.87,2015,Charlotte,conventional
373,2015-10-25,1.27,140920.61,2015,Charlotte,conventional
374,2015-10-18,1.26,156565.98,2015,Charlotte,conventional
375,2015-10-11,1.14,167396.56,2015,Charlotte,conventional
376,2015-10-04,1.22,146737.74,2015,Charlotte,conventional
377,2015-09-27,1.09,168780.22,2015,Charlotte,conventional
378,2015-09-20,1.2,161443.98,2015,Charlotte,conventional
379,2015-09-13,1.19,171077.53,2015,Charlotte,conventional
380,2015-09-06,1.01,227728.43,2015,Charlotte,conventional
381,2015-08-30,1.2,179026.88,2015,Charlotte,conventional
382,2015-08-23,1.15,203298.37,2015,Charlotte,conventional
383,2015-08-16,1.24,178525.52,2015,Charlotte,conventional
384,2015-08-09,1.21,173059.32,2015,Charlotte,conventional
385,2015-08-02,1.24,179321.9,2015,Charlotte,conventional
386,2015-07-26,1.23,173896.82,2015,Charlotte,conventional
387,2015-07-19,1.19,187575.03,2015,Charlotte,conventional
388,2015-07-12,1.18,182856.82,2015,Charlotte,conventional
389,2015-07-05,1.18,216118.9,2015,Charlotte,conventional
390,2015-06-28,1.17,193654.01,2015,Charlotte,conventional
391,2015-06-21,1.17,201173.1,2015,Charlotte,conventional
392,2015-06-14,1.15,207093.88,2015,Charlotte,conventional
393,2015-06-07,1.15,199980.3,2015,Charlotte,conventional
394,2015-05-31,1.19,194630.86,2015,Charlotte,conventional
395,2015-05-24,1.2,212527.72,2015,Charlotte,conventional
396,2015-05-17,1.21,190799.99,2015,Charlotte,conventional
397,2015-05-10,1.19,192767.09,2015,Charlotte,conventional
398,2015-05-03,1.0,261492.2,2015,Charlotte,conventional
399,2015-04-26,1.2,182141.55,2015,Charlotte,conventional
400,2015-04-19,1.18,180944.22,2015,Charlotte,conventional
401,2015-04-12,1.17,204005.24,2015,Charlotte,conventional
402,2015-04-05,1.19,177919.28,2015,Charlotte,conventional
403,2015-03-29,1.23,178788.49,2015,Charlotte,conventional
404,2015-03-22,1.19,182876.15,2015,Charlotte,conventional
405,2015-03-15,1.19,183944.05,2015,Charlotte,conventional
406,2015-03-08,1.25,159386.69,2015,Charlotte,conventional
407,2015-03-01,1.18,176146.34,2015,Charlotte,conventional
408,2015-02-22,1.08,201741.43,2015,Charlotte,conventional
409,2015-02-15,1.22,156798.51,2015,Charlotte,conventional
410,2015-02-08,1.17,150139.38,2015,Charlotte,conventional
411,2015-02-01,0.98,254009.7,2015,Charlotte,conventional
412,2015-01-25,1.18,167270.13,2015,Charlotte,conventional
413,2015-01-18,1.25,152671.15,2015,Charlotte,conventional
414,2015-01-11,1.26,159942.68,2015,Charlotte,conventional
415,2015-01-04,1.19,166006.29,2015,Charlotte,conventional
416,2015-12-27,0.93,661137.13,2015,Chicago,conventional
417,2015-12-20,0.91,690669.34,2015,Chicago,conventional
418,2015-12-13,1.07,668601.5,2015,Chicago,conventional
419,2015-12-06,1.14,664020.49,2015,Chicago,conventional
420,2015-11-29,1.11,602481.22,2015,Chicago,conventional
421,2015-11-22,0.94,751897.89,2015,Chicago,conventional
422,2015-11-15,1.17,641881.96,2015,Chicago,conventional
423,2015-11-08,1.01,711146.61,2015,Chicago,conventional
424,2015-11-01,1.0,807041.46,2015,Chicago,conventional
425,2015-10-25,1.12,687650.27,2015,Chicago,conventional
426,2015-10-18,1.15,690302.58,2015,Chicago,conventional
427,2015-10-11,1.08,708914.17,2015,Chicago,conventional
428,2015-10-04,1.18,675172.63,2015,Chicago,conventional
429,2015-09-27,1.15,720501.55,2015,Chicago,conventional
430,2015-09-20,1.19,729117.42,2015,Chicago,conventional
431,2015-09-13,1.19,775671.49,2015,Chicago,conventional
432,2015-09-06,1.11,808677.78,2015,Chicago,conventional
433,2015-08-30,1.12,773773.53,2015,Chicago,conventional
434,2015-08-23,1.2,751850.01,2015,Chicago,conventional
435,2015-08-16,1.16,817690.89,2015,Chicago,conventional
436,2015-08-09,1.25,731125.01,2015,Chicago,conventional
437,2015-08-02,1.27,761027.42,2015,Chicago,conventional
438,2015-07-26,1.12,791332.34,2015,Chicago,conventional
439,2015-07-19,1.24,797060.27,2015,Chicago,conventional
440,2015-07-12,1.26,772151.2,2015,Chicago,conventional
441,2015-07-05,1.24,937317.45,2015,Chicago,conventional
442,2015-06-28,1.21,786250.22,2015,Chicago,conventional
443,2015-06-21,1.24,804902.52,2015,Chicago,conventional
444,2015-06-14,1.21,868197.41,2015,Chicago,conventional
445,2015-06-07,1.24,824216.23,2015,Chicago,conventional
446,2015-05-31,1.26,803571.87,2015,Chicago,conventional
447,2015-05-24,1.23,887105.04,2015,Chicago,conventional
448,2015-05-17,1.23,817870.17,2015,Chicago,conventional
449,2015-05-10,1.23,835938.63,2015,Chicago,conventional
450,2015-05-03,1.04,978376.13,2015,Chicago,conventional
451,2015-04-26,1.24,779868.01,2015,Chicago,conventional
452,2015-04-19,1.24,832529.06,2015,Chicago,conventional
453,2015-04-12,1.24,710718.98,2015,Chicago,conventional
