AnoCalendario;DataArquivamento;DataAbertura;CodigoRegiao;Regiao;UF;strRazaoSocial;strNomeFantasia;Tipo;NumeroCNPJ;RadicalCNPJ;RazaoSocialRFB;NomeFantasiaRFB;CNAEPrincipal;DescCNAEPrincipal;Atendida;CodigoAssunto;DescricaoAssunto;CodigoProblema;DescricaoProblema;SexoConsumidor;FaixaEtariaConsumidor;CEPConsumidor
2020;2020-12-09 13:48:46.000;2020-03-02 08:49:06.000;03;Sudeste;MG;BANCO DO BRASIL S.A.;NULL;1;191;00000000;BANCO DO BRASIL SA;DIRECAO GERAL;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;S;53;Banco comercial;1116;Cobrança indevida.;F;entre 61 a 70 anos;30120023
2020;2020-02-03 17:22:16.000;2019-08-12 10:07:29.000;03;Sudeste;MG;TIM CELULAR;TIM CELULAR;1;2421421002084;02421421;TIM CELULAR S.A.;;6120501;TELEFONIA MÓVEL CELULAR;N;187;Telefonia Celular;3768;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.;M;entre 61 a 70 anos;37975000
2020;2020-12-09 13:48:15.000;2020-01-15 15:25:17.000;03;Sudeste;MG;BANCO CSF S/A;BANCO CARREFOUR;1;8357240000150;08357240;BANCO CSF S/A;;6431000;BANCOS MÚLTIPLOS, SEM CARTEIRA COMERCIAL;S;126;Produtos Doméstico ( Escada, Balança, Overloque, Máquina de Costura / Tricô, Vassoura, Escova, Rodo, Saco de Lixo, Palha de Aço );2527;Produto com vício;F;entre 21 a 30 anos;31730740
2020;2020-03-11 16:39:17.000;2019-11-28 13:52:42.000;03;Sudeste;MG;SICOOB CREDIPRATA /SICOOBCARD MASTERCARD CLÁSSICO;SICOOB CREDIPRATA /SICOOBCARD MASTERCARD CLÁSSICO;1;NULL;NULL;NULL;NULL;NULL;NULL;S;54;Cartão de Crédito;1117;Cobrança indevida.;M;Nao Informada;35600000
2020;2020-12-28 17:50:13.000;2020-11-06 11:32:16.000;03;Sudeste;MG;TELEFÔNICA BRASIL S/A;VIVO;1;2558157000162;02558157;TELEFONICA BRASIL S.A.;;6110801;SERVIÇOS DE TELEFONIA FIXA COMUTADA - STFC;N;101;Telefone ( Convencional, Celular, Interfone, Etc. );2628;Não entrega/demora na entrega do produto;M;entre 61 a 70 anos;35500285
2020;2020-12-09 13:48:51.000;2020-03-16 16:45:31.000;03;Sudeste;MG;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;AZUL LINHAS AÉREAS;1;9296295000160;09296295;AZUL LINHAS AEREAS BRASILEIRAS S.A.;;5111100;TRANSPORTE AÉREO DE PASSAGEIROS REGULAR;S;276;Agências e Operadoras de viagens (pacotes turísticos);5399;Cobrança indevida/abusiva;F;entre 21 a 30 anos;30310300
2020;2020-08-31 11:06:10.000;2020-05-19 12:18:23.000;02;Nordeste;RN;MASTERCARD BRASIL LTDA;MASTERCARD;1;1248201000175;01248201;MASTERCARD BRASIL LTDA;;8299799;OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS NÃO ESPECIFICADAS ANTERIORMENTE;N;54;Cartão de Crédito;6943;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes);M;entre 31 a 40 anos;59084250
2020;2020-02-05 10:29:04.000;2019-12-18 09:37:53.000;02;Nordeste;RN;MAGAZINE LUIZA;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;S;101;Telefone ( Convencional, Celular, Interfone, Etc. );2502;Produto com vício;F;entre 31 a 40 anos;59142380
2020;2020-02-04 12:49:12.000;2019-12-18 11:15:26.000;02;Nordeste;RN;TIM CELULAR S/A;TIM CELULAR S/A;1;NULL;NULL;NULL;NULL;NULL;NULL;S;187;Telefonia Celular;3746;Cobrança indevida/abusiva;F;entre 51 a 60 anos;59149203
2020;2020-02-12 14:48:16.000;2019-11-22 13:39:44.000;03;Sudeste;MG;MALTA;MALTA;1;NULL;NULL;NULL;NULL;NULL;NULL;S;186;Telefonia Fixa ( Plano de Expansão / Compra e Venda / Locação );3745;Cobrança indevida/abusiva;M;entre 61 a 70 anos;35050700
2020;2020-02-06 17:46:19.000;2019-12-10 11:25:24.000;03;Sudeste;MG;VIA VAREJO S/A;PONTO FRIO, CASAS BAHIA E EXTRA;1;33041260065290;33041260;VIA VAREJO S/A;;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;S;54;Cartão de Crédito;1063;Envio de produto ou serviço sem previa solicitação;F;entre 21 a 30 anos;35055244
2020;2020-12-09 13:48:42.000;2020-02-17 08:49:39.000;03;Sudeste;MG;LAGAR CLUBE DE BENEFÍCIOS;LAGAR;1;32525445000181;32525445;NULL;NULL;NULL;NULL;S;282;Seguro;5364;Garantia - Descumprimento, prazo;M;entre 31 a 40 anos;31814060
2020;2020-12-09 13:48:51.000;2020-03-11 11:27:12.000;03;Sudeste;MG;BANCO PANAMERICANO S/A;PANAMERICANO;1;59285411000113;59285411;BANCO PANAMERICANO SA;;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;N;53;Banco comercial;1116;Cobrança indevida.;F;mais de 70 anos;30310010
2020;2020-12-09 13:48:15.000;2020-01-13 10:11:35.000;03;Sudeste;MG;MERCADOPAGO.COM REPRESENTAÇÕES LTDA;MERCADO PAGO;1;10573521000191;10573521;MERCADOPAGO.COM REPRESENTACOES LTDA.;;8291100;ATIVIDADES DE COBRANÇA E INFORMAÇÕES CADASTRAIS;N;76;Outros Contratos;1112;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.);M;entre 31 a 40 anos;30642310
2020;2020-12-09 13:48:15.000;2020-01-13 08:38:33.000;03;Sudeste;MG;BANCO BMG S/A;BANCO BMG;1;61186680000174;61186680;BANCO BMG SA;;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;N;53;Banco comercial;6915;Crédito Consignado;F;mais de 70 anos;31840260
2020;2020-02-27 09:30:59.000;2019-11-18 09:11:52.000;03;Sudeste;MG;SUMUP SOLUCOES DE PAGAMENTO BRASIL LTDA;SUMUP;1;16668076000120;16668076;SUMUP SOLUCOES DE PAGAMENTO BRASIL LTDA;;8299799;OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS NÃO ESPECIFICADAS ANTERIORMENTE;N;76;Outros Contratos;1139;Cobrança indevida.;F;entre 31 a 40 anos;37500100
2020;2020-03-13 09:25:31.000;2020-02-04 15:50:35.000;03;Sudeste;MG;WHIRLPOOL S/A;CONSUL;1;NULL;NULL;NULL;NULL;NULL;NULL;S;94;Geladeira e Freezer;2495;Produto com vício;F;entre 61 a 70 anos;35059120
2020;2020-03-13 09:25:31.000;2020-02-04 15:50:35.000;03;Sudeste;MG;WHIRLPOOL S/A;UNIDADE DE ELETRODOMESTICOS (BRASTEMP E CONSUL);1;59105999000186;59105999;WHIRLPOOL S.A;UNIDADE DE ELETRODOMESTICOS;2751100;FABRICAÇÃO DE FOGÕES, REFRIGERADORES E MÁQUINAS DE LAVAR E SECAR PARA USO DOMÉSTICO, PEÇAS E ACESSÓRIOS;S;94;Geladeira e Freezer;2495;Produto com vício;F;entre 61 a 70 anos;35059120
2020;2020-12-09 13:48:04.000;2019-12-02 14:52:45.000;03;Sudeste;MG;TELEFONICA BRASIL S/A;VIVO/ GVT;1;2558157000162;02558157;TELEFONICA BRASIL S.A.;;6110801;SERVIÇOS DE TELEFONIA FIXA COMUTADA - STFC;N;187;Telefonia Celular;3779;Venda/Oferta/publicidade enganosa.;M;entre 51 a 60 anos;31980590
2020;2020-09-21 16:38:07.000;2019-01-03 14:01:47.000;03;Sudeste;MG;CASAS BAHIA;CASAS BAHIA;1;33041260156768;33041260;NULL;NULL;NULL;NULL;N;94;Geladeira e Freezer;2747;Publicidade enganosa;M;entre 51 a 60 anos;38302036
2020;2020-01-31 09:28:52.000;2019-11-29 09:12:44.000;03;Sudeste;MG;GV SERVIÇOS ESTÉTICOS LTDA - EPP;ESPAÇO LASER;1;28523455000100;28523455;NULL;NULL;NULL;NULL;S;213;Outros Profissionais Liberais ( Esteticista / Massagista / Farmacêutico );4830;Cobrança de multa acima do permitido pela legislação;F;entre 21 a 30 anos;35022630
2020;2020-08-06 10:08:41.000;2020-05-20 11:32:55.000;02;Nordeste;RN;DIGITAL BANKS PAGAMENTOS S/A;NULL;1;32335055000149;32335055;NULL;NULL;NULL;NULL;N;96;Televisão / Vídeo Cassete / Filmadora / Video-Laser;2623;Não entrega/demora na entrega do produto;F;entre 21 a 30 anos;59056500
2020;2020-02-18 11:40:38.000;2019-12-18 12:12:19.000;02;Nordeste;RN;SPA STTILLOS SALÃO DE BELEZA LTDA;NULL;1;32461641000130;32461641;NULL;NULL;NULL;NULL;S;214;Outros Serviços ( Laboratório de Análises Clínicas / Clínicas Que Realizam Exames / Remoção );4123;Venda enganosa;M;entre 31 a 40 anos;59151250
2020;2020-12-02 10:06:25.000;2018-12-17 11:09:46.000;02;Nordeste;CE;SOCIEDADE DE ENSINO SUPERIOR ESTÁCIO DE SÁ LTDA;ESTACIO / FACULDADE ESTÁCIO DO CEARÁ;1;2608755003386;02608755;IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.;;8531700;EDUCAÇÃO SUPERIOR - GRADUAÇÃO;N;236;Cursos Livres Outros;5730;Contrato - Rescisão/alteração unilateral;M;entre 41 a 50 anos;NULL
2020;2020-03-03 08:56:39.000;2020-01-15 09:24:06.000;02;Nordeste;RN;COMPANHIA DE ÁGUA E ESGOTO DO RIO GRANDE DO NORTE;CAERN  (ESCRITÓRIO GERAL);1;8334385000135;08334385;COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORTE;;3600601;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;N;183;Água / Esgoto;3742;Cobrança indevida/abusiva;M;entre 51 a 60 anos;59122537
2020;2020-02-05 10:46:32.000;2019-12-20 11:57:30.000;02;Nordeste;RN;COMPANHIA DE ÁGUA E ESGOTO DO RIO GRANDE DO NORTE;CAERN  (ESCRITÓRIO GERAL);1;8334385000135;08334385;COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORTE;;3600601;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;N;183;Água / Esgoto;3742;Cobrança indevida/abusiva;F;entre 61 a 70 anos;59162000
2020;2020-12-09 13:48:25.000;2020-01-20 13:20:00.000;03;Sudeste;MG;PASCHOALIN SERVICOS ADMINISTRATIVOS EIRELI;PASCHOALIN (19) 981026724;1;32059090000182;32059090;NULL;NULL;NULL;NULL;N;98;Artigos de Enxoval ( Cama / Mesa e Banho );2876;Venda enganosa;F;entre 51 a 60 anos;31872087
2020;2020-01-28 09:42:34.000;2019-12-10 17:22:43.000;03;Sudeste;MG;LOJAS AVENIDA S.A;AVENIDA (MATRIZ);1;819201000115;00819201;LOJAS AVENIDA LTDA;AVENIDA;4781400;COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;S;76;Outros Contratos;1139;Cobrança indevida.;M;entre 31 a 40 anos;35054130
2020;2020-01-23 08:56:00.000;2019-12-13 11:14:42.000;02;Nordeste;RN;BANCO ITAUCARD S.A;ITAUCARD FINANCEIRA;1;17192451000170;17192451;BANCO ITAUCARD S.A.;ITAUCARD FINANCEIRA;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;N;54;Cartão de Crédito;1117;Cobrança indevida.;M;entre 61 a 70 anos;59132510
2020;2020-05-29 14:28:51.000;2020-02-19 14:26:28.000;03;Sudeste;MG;DRA. TELMA LÚCIA SANTIAGO HUGO;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;S;263;Profissional Liberal ( Contador, Arquiteto );4947;Vicio de qualidade (mal executado, inadequado, impróprio);F;entre 31 a 40 anos;35420000
2020;2020-03-12 13:36:35.000;2019-09-11 15:34:55.000;03;Sudeste;MG;CARLA GONCALVES DA CRUZ 07487897664;GONCALVES CRUZ COLCHOARIA;1;32611529000138;32611529;NULL;NULL;NULL;NULL;S;100;Colchão;3130;Desistência de compra (cancelamento de compra);F;Nao Informada;36408001
2020;2020-11-03 10:48:53.000;2019-07-31 09:24:55.000;03;Sudeste;MG;VIVO SA;VIVO;1;2558157000162;02558157;TELEFONICA BRASIL S.A.;;6110801;SERVIÇOS DE TELEFONIA FIXA COMUTADA - STFC;N;187;Telefonia Celular;3746;Cobrança indevida/abusiva;F;entre 51 a 60 anos;37890000
2020;2020-11-19 08:51:44.000;2020-10-29 15:01:25.000;03;Sudeste;MG;BANCO DO BRASIL;BANCO DO BRASIL;1;NULL;NULL;NULL;NULL;NULL;NULL;N;53;Banco comercial;1116;Cobrança indevida.;M;entre 41 a 50 anos;38500000
2020;2020-01-07 09:19:05.000;2019-12-04 16:37:54.000;03;Sudeste;MG;ACBZ IMPORTAÇÃO E COMERCIO LTDA;ASUS;1;NULL;NULL;NULL;NULL;NULL;NULL;N;101;Telefone ( Convencional, Celular, Interfone, Etc. );2502;Produto com vício;F;entre 21 a 30 anos;38500000
2020;2020-01-07 09:19:05.000;2019-12-04 16:37:54.000;03;Sudeste;MG;ON LINE SHOPPING LTDA;ON LINE SHOPPING LTDA;1;NULL;NULL;NULL;NULL;NULL;NULL;N;101;Telefone ( Convencional, Celular, Interfone, Etc. );2502;Produto com vício;F;entre 21 a 30 anos;38500000
2020;2020-10-08 08:38:42.000;2020-03-06 10:21:19.000;03;Sudeste;MG;VIA VAREJO S/A;PONTO FRIO, CASAS BAHIA E EXTRA;1;33041260065290;33041260;VIA VAREJO S/A;;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;S;63;Financeira;1604;Venda casada;F;mais de 70 anos;35032040
2020;2020-08-12 14:10:07.000;2020-04-28 13:59:51.000;03;Sudeste;MG;CARTÃO DA CAIXA;CAIXA VISA;1;NULL;NULL;NULL;NULL;NULL;NULL;S;63;Financeira;1099;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.);M;entre 61 a 70 anos;35600000
2020;2020-01-10 09:48:01.000;2019-08-26 12:29:13.000;03;Sudeste;ES;TELEFONICA BRASIL S.A.;VIVO | TELEFONICA;1;2558157000162;02558157;TELEFONICA BRASIL S.A.;;6110801;SERVIÇOS DE TELEFONIA FIXA COMUTADA - STFC;S;137;Internet;3230;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.);F;até 20 anos;NULL
2020;2020-02-19 11:21:41.000;2020-01-23 11:02:25.000;02;Nordeste;RN;SONY  BRASIL LTDA;SONY;1;43422070000140;43422070;SONY DO BRASIL LTDA;SONY;8888888;;N;96;Televisão / Vídeo Cassete / Filmadora / Video-Laser;2497;Produto com vício;M;entre 41 a 50 anos;59140590
2020;2020-12-09 13:48:04.000;2019-07-29 16:11:18.000;03;Sudeste;MG;BANCO BRADESCARD S.A.;CARTÕES: C&A MODAS / CASAS BAHIA / SKALA / LEADER;1;4184779000101;04184779;BANCO BRADESCARD S.A.;BANCO BRADESCARD;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;S;54;Cartão de Crédito;1117;Cobrança indevida.;F;entre 21 a 30 anos;31680390
2020;2020-12-09 13:48:32.000;2020-01-28 14:19:29.000;03;Sudeste;MG;APPLE COMPUTER BRASIL LTDA;APLLE;1;623904000173;00623904;APPLE COMPUTER BRASIL LTDA;;4651601;COMÉRCIO ATACADISTA DE EQUIPAMENTOS DE INFORMÁTICA;N;101;Telefone ( Convencional, Celular, Interfone, Etc. );3194;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.);F;entre 21 a 30 anos;30692700
2020;2020-03-13 10:05:30.000;2020-01-22 11:47:08.000;02;Nordeste;RN;VISA DO BRASIL EMPREENDIMENTOS LTDA;VISA;1;31551765000143;31551765;VISA DO BRASIL EMPREENDIMENTOS LTDA;;7020400;ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXCETO CONSULTORIA TÉCNICA ESPECÍFICA;N;54;Cartão de Crédito;1169;Calculo de prestação/taxa de juros;M;entre 51 a 60 anos;59060400
2020;2020-07-14 10:28:23.000;2019-11-07 12:11:34.000;02;Nordeste;RN;TECNO INDUSTRIA COMERCIO DE COMPUTADORES;NULL;1;7272825004100;07272825;NULL;NULL;NULL;NULL;S;102;Microcomputador / Produtos de Informática;2503;Produto com vício;M;entre 41 a 50 anos;59088090
2020;2020-08-28 10:33:23.000;2020-01-23 12:09:02.000;02;Nordeste;RN;ROBSON C.DE ARAUJO ELETRONICA;NULL;1;4444194000175;04444194;ROBSON CARVALHO DE ARAUJO ELETRONICA ME;ROBSON ELETRONICA;9521500;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS ELETROELETRÔNICOS DE USO PESSOAL E DOMÉSTICO;N;97;Eletroportáteis ( Batedeira, Liqüidificador, Espremedor de Frutas, Etc. );2498;Produto com vício;F;entre 41 a 50 anos;59073300
2020;2020-08-28 10:33:23.000;2020-01-23 12:09:02.000;02;Nordeste;RN;PHILCO ELETRÔNICOS LTDA.;PHILCO ELETRÔNICOS LTDA.;1;11283356000287;11283356;PHILCO ELETRONICOS SA;;2640000;FABRICAÇÃO DE APARELHOS DE RECEPÇÃO, REPRODUÇÃO, GRAVAÇÃO E AMPLIFICAÇÃO DE ÁUDIO E VÍDEO;N;97;Eletroportáteis ( Batedeira, Liqüidificador, Espremedor de Frutas, Etc. );2498;Produto com vício;F;entre 41 a 50 anos;59073300
2020;2020-03-06 14:08:42.000;2020-01-07 14:51:33.000;03;Sudeste;MG;BANCO ITAU BMG CONSIGNADO S.A.;NULL;1;33885724000119;33885724;BANCO ITAU BMG CONSIGNADO S.A.;;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;N;63;Financeira;1099;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.);M;entre 61 a 70 anos;35600000
2020;2020-12-24 14:33:28.000;2019-08-12 13:23:53.000;03;Sudeste;MG;CAIXA ECONÔMICA FEDERAL;CEF MATRIZ;1;360305000104;00360305;CAIXA ECONOMICA FEDERAL;CEF MATRIZ;6423900;CAIXAS ECONÔMICAS;N;82;Incorporação ( Construtoras e Incorporadoras );7216;Defeito/Risco à saúde e segurança;F;entre 61 a 70 anos;35501227
2020;2020-12-09 13:48:25.000;2020-01-27 16:11:28.000;03;Sudeste;MG;TRES COMERCIO DE PUBLICACOES LTDA.;TRES PUBLICAÇÕES (FILIAL);1;597491000280;00597491;TRES COMERCIO DE PUBLICACOES LTDA.;;4647802;COMÉRCIO ATACADISTA DE LIVROS, JORNAIS E OUTRAS PUBLICAÇÕES;N;106;Artigo de Leitura ( Formal, Jornal, Revista, Folheto, Livros, Etc. );2633;Não entrega/demora na entrega do produto;M;entre 31 a 40 anos;30380465
2020;2020-03-12 15:40:10.000;2019-11-07 15:32:29.000;03;Sudeste;SP;CLARO S/A;CLARO / EMBRATEL / CLARO TV / NET;1;40432544000147;40432544;CLARO S.A.;CLARO;6120501;TELEFONIA MÓVEL CELULAR;S;186;Telefonia Fixa ( Plano de Expansão / Compra e Venda / Locação );3624;Vicio de qualidade (mal executado, inadequado, impróprio);F;entre 51 a 60 anos;13201002
2020;2020-03-18 10:52:45.000;2018-04-04 10:55:47.000;03;Sudeste;ES;MARCELO MOREIRA - ME;REDE VIX;1;28415057000170;28415057;MARCELO MOREIRA ME;;5611201;RESTAURANTES E SIMILARES;N;283;Estabelecimento comercial (supermercado, loja, padaria, locadora, frutaria, etc.);5123;Serviço em desacordo com norma/lei;N;Nao Informada;29146520
2020;2020-03-16 14:21:42.000;2020-03-03 15:26:12.000;03;Sudeste;ES;TELEMAR NORTE LESTE S/A;OI - FIXO;1;33000118000179;33000118;TELEMAR NORTE LESTE S/A;OI;6110801;SERVIÇOS DE TELEFONIA FIXA COMUTADA - STFC;S;186;Telefonia Fixa ( Plano de Expansão / Compra e Venda / Locação );3767;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.;F;entre 41 a 50 anos;29156225
2020;2020-12-09 13:48:42.000;2020-02-17 08:44:43.000;03;Sudeste;MG;OI MOVEL S.A;MOVEL PESSOAL, TV E BANDA LARGA MOVEL;1;5423963000111;05423963;OI MOVEL S.A.;OI;6120501;TELEFONIA MÓVEL CELULAR;S;187;Telefonia Celular;3746;Cobrança indevida/abusiva;F;mais de 70 anos;31990240
