;CodigoProblema;DescricaoProblema
381;5206;Reajuste abusivo (preço, taxa, mensalidade, etc.)
382;3647;Serviço não concluído /Fornecimento parcial
384;4996;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
387;7080;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
391;2538;Produto com vício
393;1064;Envio de produto ou serviço sem previa solicitação
402;6175;Vício do Produto/Serviço
403;3656;Dano material/pessoal decorrente do serviço
404;1960;Falha bancaria em transações eletrônicas (transferencias indevidas, saques indevidos)
406;3161;Desistência de compra (cancelamento de compra)
407;6716;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
411;3126;Desistência de compra (cancelamento de compra)
413;1121;Cobrança indevida.
414;1710;Consumidor negativado indevidamente nos serviços de proteção ao credito
415;5177;Orçamento - Não cumprido/não fornecido/impreciso/incompleto/serviço não solicitado
418;5729;Contrato - Rescisão/alteração unilateral
420;2494;Produto com vício
422;2488;Produto com vício
423;6836;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
425;2523;Produto com vício
428;1393;Não entrega de quitação/retenção de documentos
429;3230;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
433;6857;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
435;1821;Não pagamento de indenização (seguros em geral)
436;6690;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
437;3001;Falta de peca de reposição
439;2317;Garantia (Abrangência, cobertura, etc.)
445;5713;Roubo/furto
446;4959;Vicio de qualidade (mal executado, inadequado, impróprio)
447;2554;Produto entregue diferente do pedido
449;3131;Desistência de compra (cancelamento de compra)
451;1933;Falha bancaria (cheques, ordem de pagamento, etc.)
453;5366;Cobrança indevida/abusiva
454;2498;Produto com vício
456;6758;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
458;2536;Produto com vício
460;2350;Garantia (Abrangência, cobertura, etc.)
467;6783;SAC - Qualidade do atendimento (atendente despreparado, problemas com a transferência da chamada, veiculação de mensagem publicitária)
468;2878;Venda enganosa
469;5144;Recusa injustificada em prestar serviço
471;7265;Defeito/Risco à saúde e segurança
474;3476;Cobrança de valor quando o produto e devolvido (cobrança indevida)
478;6055;Lançamento Não Reconhecido na Fatura
482;3195;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
483;5406;Cobrança indevida/abusiva
484;1223;Calculo de prestação em atraso
485;2806;Publicidade abusiva
487;2325;Garantia (Abrangência, cobertura, etc.)
489;2654;Não entrega/demora na entrega do produto
490;5019;Serviço não concluído /Fornecimento parcial
492;5183;Orçamento - Não cumprido/não fornecido/impreciso/incompleto/serviço não solicitado
498;2496;Produto com vício
500;2613;Produto entregue diferente do pedido
502;2540;Produto com vício
504;2512;Produto com vício
508;1627;Venda enganosa
512;4770;Presença de sujidades/corpos estranhos
513;5727;Contrato - Rescisão/alteração unilateral
514;5737;Contrato - Rescisão/alteração unilateral
516;2879;Venda enganosa
517;5370;Cobrança indevida/abusiva
523;2526;Produto com vício
524;2318;Garantia (Abrangência, cobertura, etc.)
525;1724;Consumidor negativado indevidamente nos serviços de proteção ao credito
527;3837;Contrato - Rescisão/alteração unilateral
528;3625;Vicio de qualidade (mal executado, inadequado, impróprio)
533;5889;Não pagamento de indenização
534;2492;Produto com vício
541;2500;Produto com vício
544;1224;Calculo de prestação em atraso
549;6724;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
550;1170;Calculo de prestação/taxa de juros
554;2549;Produto com vício
555;3481;Cobrança de valor quando o produto e devolvido (cobrança indevida)
559;3180;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
561;2521;Produto com vício
563;1245;Calculo de prestação em atraso
564;2750;Publicidade enganosa
565;2785;Publicidade enganosa
568;2365;Garantia (Abrangência, cobertura, etc.)
571;1384;Não entrega de quitação/retenção de documentos
573;2324;Garantia (Abrangência, cobertura, etc.)
578;7221;Defeito/Risco à saúde e segurança
579;2623;Não entrega/demora na entrega do produto
581;3043;Falta de peca de reposição
582;2542;Produto com vício
584;3847;Contrato - Clausula abusiva/em desacordo com a Legislação.
588;3959;Outros problemas com contratos de saúde (Não cobertura, abrangência, reembolso)
590;6863;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
591;2341;Garantia (Abrangência, cobertura, etc.)
594;2646;Não entrega/demora na entrega do produto
597;4933;Vicio de qualidade (mal executado, inadequado, impróprio)
599;3628;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
600;1132;Cobrança indevida.
601;6720;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
602;1646;Venda enganosa
608;3658;Dano material/pessoal decorrente do serviço
614;6982;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
615;2666;Não entrega/demora na entrega do produto
616;2674;Não entrega/demora na entrega do produto
617;6148;Não Entrega de Produto
619;5574;Documentos: não fornecimento (escolares, recibo, nota, fiscal, vaucher , etc.)
621;6650;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
630;5365;Garantia - Descumprimento, prazo
635;5040;Serviço não concluído /Fornecimento parcial
636;1131;Cobrança indevida.
637;5460;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
642;6916;Crédito Consignado
643;3164;Desistência de compra (cancelamento de compra)
649;4955;Vicio de qualidade (mal executado, inadequado, impróprio)
651;2284;Duvidas sobre cobranças (taxas, etc.)
652;3303;Acidente de Consumo (produto causou danos pessoais)
653;5034;Serviço não concluído /Fornecimento parcial
654;1703;Consumidor negativado indevidamente nos serviços de proteção ao credito
661;7259;Defeito/Risco à saúde e segurança
663;7256;Defeito/Risco à saúde e segurança
669;2562;Produto entregue diferente do pedido
679;6008;TOI - Termo de Ocorrência de Irregularidade
682;4852;Não cumprimento à oferta
686;2553;Produto entregue diferente do pedido
688;1458;Valor de reajuste (mensalidade)
690;2547;Produto com vício
698;3433;Cobrança de valor quando o produto e devolvido (cobrança indevida)
703;2619;Não entrega/demora na entrega do produto
706;4186;Publicidade abusiva
709;5116;Serviço em desacordo com norma/lei
713;3120;Desistência de compra (cancelamento de compra)
715;2664;Não entrega/demora na entrega do produto
730;4938;Vicio de qualidade (mal executado, inadequado, impróprio)
732;5056;Dano material/pessoal decorrente do serviço
734;5384;Cobrança indevida/abusiva
737;6663;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
741;5771;Contrato - Clausula abusiva/em desacordo com a Legislação.
742;4963;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
748;2633;Não entrega/demora na entrega do produto
751;6712;SAC - Acompanhamento de demandas (ausência de registro numérico, não envio do histórico/registro)
754;3867;Consulta Sobre Serviços (Pesquisa, cartilha, endereços, outros)
757;3757;Cobrança abusiva mediante constrangimento, ameaça.
759;1136;Cobrança indevida.
761;3053;Falta de peca de reposição
772;7282;Defeito/Risco à saúde e segurança
778;2519;Produto com vício
779;1093;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
781;3843;Contrato - Rescisão/alteração unilateral
782;6799;SAC - Qualidade do atendimento (atendente despreparado, problemas com a transferência da chamada, veiculação de mensagem publicitária)
788;4979;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
795;6884;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
796;1885;Discordância quanto as avarias
797;5440;Cobrança abusiva mediante constrangimento, ameaça.
799;6761;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
800;6238;Negativa de Cobertura
807;5358;Garantia - Descumprimento, prazo
808;2501;Produto com vício
809;6727;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
814;1277;Autorização de faturamento/entrega do bem/carta de credito (não entrega, atualização, valor menor)
821;7113;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
822;6070;Lançamento Não Reconhecido na Fatura
823;3240;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
825;1914;Roubo de cartão
826;3636;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
827;2182;Saldo devedor
828;2218;Devolução de sinal, valores pagos (negocio não concretizado)
835;2356;Garantia (Abrangência, cobertura, etc.)
836;7084;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
841;7094;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
842;3194;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
844;3062;Produto entregue incompleto
846;4948;Vicio de qualidade (mal executado, inadequado, impróprio)
848;7273;Defeito/Risco à saúde e segurança
851;7228;Defeito/Risco à saúde e segurança
852;3091;Produto entregue incompleto
853;2724;Peso/volume/quantidade/tamanho
855;7085;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
856;7252;Defeito/Risco à saúde e segurança
861;2826;Publicidade abusiva
862;2202;Rescisão do contrato pela venda enganosa
865;1130;Cobrança indevida.
878;2635;Não entrega/demora na entrega do produto
879;5075;Dano material/pessoal decorrente do serviço
887;4978;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
896;3560;Não pagamento de indenização
899;4984;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
903;6755;Desbloqueio de aparelho
910;1518;Não pagamento de resgate (capitalização/ouro/compra)
916;2552;Produto entregue diferente do pedido
921;2336;Garantia (Abrangência, cobertura, etc.)
922;6304;TOI - Termo de Ocorrência de Irregularidade
926;6844;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
927;7107;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
928;5160;Recusa injustificada em prestar serviço
933;1544;Publicidade enganosa
939;2412;Manual de Instrução (em língua estrangeira/falta de informação/informação incorreta)
947;2533;Produto com vício
948;2598;Produto entregue diferente do pedido
954;5395;Cobrança indevida/abusiva
956;2587;Produto entregue diferente do pedido
960;5459;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
961;1643;Venda enganosa
962;2530;Produto com vício
967;2679;Peso/volume/quantidade/tamanho
969;6681;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
970;5853;Não pagamento de indenização
973;5451;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
974;3238;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
982;5054;Dano material/pessoal decorrente do serviço
983;1597;Venda casada
984;4934;Vicio de qualidade (mal executado, inadequado, impróprio)
986;2649;Não entrega/demora na entrega do produto
988;1980;Falha bancaria em transações eletrônicas (transferencias indevidas, saques indevidos)
990;4445;Preço do produto/serviço
993;2408;Manual de Instrução (em língua estrangeira/falta de informação/informação incorreta)
998;1553;Publicidade enganosa
1002;3672;Recusa injustificada em prestar serviço
1004;2816;Publicidade abusiva
1005;4168;Publicidade enganosa
1021;1276;Autorização de faturamento/entrega do bem/carta de credito (não entrega, atualização, valor menor)
1023;3779;Venda/Oferta/publicidade enganosa.
1026;1106;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
1027;6759;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
1029;4594;Erro na elaboração de formula/produto em desacordo com a formula receita
1031;4883;Não cumprimento à oferta
1032;5287;Desistência do serviço (artigo 49 - descumprimento)
1036;2308;Garantia (Abrangência, cobertura, etc.)
1037;2310;Garantia (Abrangência, cobertura, etc.)
1051;7031;SAC - Acompanhamento de demandas (ausência de registro numérico, não envio do histórico/registro)
1061;3856;Contrato - Clausula abusiva/em desacordo com a Legislação.
1062;5021;Serviço não concluído /Fornecimento parcial
1063;3815;Extravio/avaria de bagagem, carga, correspondência, mercadoria, mudança, etc.
1064;7216;Defeito/Risco à saúde e segurança
1066;2755;Publicidade enganosa
1070;2630;Não entrega/demora na entrega do produto
1072;5534;Publicidade abusiva.
1073;1969;Falha bancaria em transações eletrônicas (transferencias indevidas, saques indevidos)
1075;5948;Reajuste anual
1076;1231;Calculo de prestação em atraso
1077;3737;Cobrança indevida/abusiva
1081;2312;Garantia (Abrangência, cobertura, etc.)
1084;3124;Desistência de compra (cancelamento de compra)
1089;5124;Recusa injustificada em prestar serviço
1090;3133;Desistência de compra (cancelamento de compra)
1091;2626;Não entrega/demora na entrega do produto
1094;3818;Extravio/avaria de bagagem, carga, correspondência, mercadoria, mudança, etc.
1098;3033;Falta de peca de reposição
1107;3155;Desistência de compra (cancelamento de compra)
1108;2346;Garantia (Abrangência, cobertura, etc.)
1110;6111;Transação Eletrônica Não Reconhecida
1113;4940;Vicio de qualidade (mal executado, inadequado, impróprio)
1116;3766;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
1118;1218;Calculo de antecipação de prestação
1119;2009;Cobrança de honorários advocaticios, despesa de cobrança
1126;4123;Venda enganosa
1128;2593;Produto entregue diferente do pedido
1131;3199;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
1134;6855;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
1139;2759;Publicidade enganosa
1142;3800;Documentos: não fornecimento (escolares, recibo, nota, fiscal, vaucher , etc.)
1143;2915;Venda enganosa
1146;2581;Produto entregue diferente do pedido
1149;5367;Cobrança indevida/abusiva
1150;3755;Cobrança abusiva mediante constrangimento, ameaça.
1152;2789;Publicidade enganosa
1159;1570;Publicidade abusiva
1173;5379;Cobrança indevida/abusiva
1187;1109;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
1192;6862;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
1201;2840;Publicidade abusiva
1205;5037;Serviço não concluído /Fornecimento parcial
1206;7115;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
1211;2864;Publicidade abusiva
1212;1096;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
1226;2640;Não entrega/demora na entrega do produto
1228;3142;Desistência de compra (cancelamento de compra)
1233;2909;Venda enganosa
1238;7073;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
1242;2667;Não entrega/demora na entrega do produto
1248;6779;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
1252;3152;Desistência de compra (cancelamento de compra)
1255;2722;Peso/volume/quantidade/tamanho
1266;6861;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
1275;4925;Vicio de qualidade (mal executado, inadequado, impróprio)
1278;5381;Cobrança indevida/abusiva
1282;3891;Rescisão/Substituição/Alteração de contrato de saúde
1283;2363;Garantia (Abrangência, cobertura, etc.)
1285;3839;Contrato - Rescisão/alteração unilateral
1289;1861;Discordância na indenização (seguros em geral)
1292;5407;Cobrança abusiva mediante constrangimento, ameaça.
1298;2804;Publicidade abusiva
1302;6056;Lançamento Não Reconhecido na Fatura
1303;3680;Recusa injustificada em prestar serviço
1308;2622;Não entrega/demora na entrega do produto
1312;6691;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
1313;2304;Garantia (Abrangência, cobertura, etc.)
1315;2884;Venda enganosa
1317;5303;Desistência do serviço (artigo 49 - descumprimento)
1319;3210;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
1327;2651;Não entrega/demora na entrega do produto
1329;2965;Demora na montagem/montagem incompleta/incorreta
1331;4246;Recusa/mau atendimento
1332;2670;Não entrega/demora na entrega do produto
1338;5284;Desistência do serviço (artigo 49 - descumprimento)
1343;3957;Outros problemas com contratos de saúde (Não cobertura, abrangência, reembolso)
1344;2843;Publicidade abusiva
1346;6201;Vício do Produto/Serviço
1351;4939;Vicio de qualidade (mal executado, inadequado, impróprio)
1352;5045;Dano material/pessoal decorrente do serviço
1361;1326;Desistência de consorcio
1362;6873;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
1366;6205;Vício do Produto/Serviço
1367;3237;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
1393;3778;Venda/Oferta/publicidade enganosa.
1395;3768;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
1397;6734;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
1401;3287;Acidente de Consumo (produto causou danos pessoais)
1414;1543;Publicidade enganosa
1452;2528;Produto com vício
1453;6769;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
1462;5148;Recusa injustificada em prestar serviço
1465;1299;Autorização de faturamento/entrega do bem/carta de credito (não entrega, atualização, valor menor)
1471;1512;Não entrega do produto (titulo de capitalização, compra programada)
1481;6973;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
1482;5951;Reajuste sem previsão contratual
1487;5346;Garantia - Descumprimento, prazo
1495;1538;Não pagamento de resgate (capitalização/ouro/compra)
1498;1232;Calculo de prestação em atraso
1501;3316;Produto causou danos materiais
1502;3477;Cobrança de valor quando o produto e devolvido (cobrança indevida)
1506;4881;Não cumprimento à oferta
1507;2168;Qualidade da construção (vícios, vazamentos, impermeabilização)
1513;4420;Preço do produto/serviço
1518;2874;Venda enganosa
1526;5526;Venda/Oferta/publicidade enganosa.
1528;2910;Venda enganosa
1535;3056;Produto entregue incompleto
1538;1105;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
1542;2203;Rescisão do contrato pela venda enganosa
1543;6179;Vício do Produto/Serviço
1552;1519;Não pagamento de resgate (capitalização/ouro/compra)
1553;7100;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
1559;6694;SAC - Qualidade do atendimento (atendente despreparado, problemas com a transferência da chamada, veiculação de mensagem publicitária)
1562;6575;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
