;strRazaoSocial;strNomeFantasia;NumeroCNPJ;RadicalCNPJ;CNAEPrincipal;DescCNAEPrincipal;RazaoSocialRFB;NomeFantasiaRFB;CodigoFornecedor
75;LOJAS SIMONETTI LTDA;MÓVEIS SIMONETTI - PINHEIRO/ES;31743818000128;31743818;4754701;COMÉRCIO VAREJISTA DE MÓVEIS;LOJAS SIMONETTI LTDA;MOVEIS SIMONETTI;55
77;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO;SAAE;27834977000160;27834977;3600601;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;SERVICO AUTONOMO DE AGUA E ESGOTO DE LINHARES;SAAE;56
79;VIAÇÃO PRETTI LTDA.;VIAÇÃO PRETTI LTDA;27488725000127;27488725;4922101;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, COM ITINERÁRIO FIXO, INTERMUNICIPAL, EXCETO EM REGIÃO METROPOLITANA;VIACAO PRETTI LTDA;;57
81;FILENO E GALENO LTDA - ME;FILENO NET;10925665000160;10925665;4321500;INSTALAÇÃO E MANUTENÇÃO ELÉTRICA;ALEX FABIANO ARCHANJO FILENO ME;FILENO NET;58
82;POUSADA CARANDA VILLE LTDA;POUSADA CARANDA VILLE;07097021000116;07097021;4929901;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL;TRANSVIP TRANSPORTES TURISTICOS LTDA - ME;TRANSVIP TRANSPORTES TURISTICOS;59
83;DELTAVILLE SPE 06 EMPREENDIMENTOS IMOBILIARIOS LTD;SPE PONTA PORAN;18517808000106;18517808;6810201;COMPRA E VENDA DE IMÓVEIS PRÓPRIOS;DELTAVILLE SPE 06 EMPREENDIMENTOS IMOBILIARIOS LTDA;SPE PONTA PORAN;60
85;TAM LINHAS AEREAS S/A.;LATAM AIRLINES BRASIL;02012862000160;02012862;5111100;TRANSPORTE AÉREO DE PASSAGEIROS REGULAR;TAM LINHAS AEREAS S/A.;;61
90;BANCO BRADESCO S/A;BANCO BRADESCO;60746948183608;60746948;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO BRADESCO SA;BRADESCO AG LUCAS DO RIO VERDE;62
91;PAGSEGURO INTERNET S.A;PAGSEGURO INTERNET S.A;08561701000101;08561701;6190601;PROVEDORES DE ACESSO ÀS REDES DE COMUNICAÇÕES;PAGSEGURO INTERNET LTDA;;63
92;BANCO BRADESCO S.A.;BRADESCO EST UNIF;60746948000112;60746948;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO BRADESCO SA;BRADESCO EST UNIF;64
93;BANCO BRADESCO SA;BRADESCO AG. SAO BENTO DO SUL - CENTRO;60746948037032;60746948;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO BRADESCO SA;BRADESCO AG. SAO BENTO DO SUL - CENTRO EST UNIF;65
94;ÓTICAS SOLDI LTDA.;ÓTICAS FERRI;29152751000105;29152751;;;;;66
96;SUDAMERICA CLUBE DE SERVICOS;SUDAMERICA CLUBE DE SERVICOS;81222267000125;81222267;9319101;PRODUÇÃO E PROMOÇÃO DE EVENTOS ESPORTIVOS;SUDAMERICA CLUBE DE SERVICOS;;67
97;BANCO BRADESCO FINANCIAMENTOS S/A;BANCO BRADESCO FINANCIAMENTOS S/A;07207996000150;07207996;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO BRADESCO FINANCIAMENTOS S.A.;;68
101;BANCO PAN S/A;BANCO PAN S/A;59285411000113;59285411;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO PANAMERICANO SA;;69
104;PERNAMBUCANAS FINANCIADORA S/A CRED FIN E INVESTIMENTO;PERNAMBUCANAS FINANCIADORA S/A CRED FIN E INVESTIMENTO;43180355000112;43180355;6436100;SOCIEDADES DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO - FINANCEIRAS;PERNAMBUCANAS FINANCIADORA S/A CRED FIN E INVESTIMENTO;;70
105;VAGNER V. DA SILVA ELETRODOMESTICOS - ME;JUND LUX / VAGNER ELETRO;04844410000170;04844410;4757100;COMÉRCIO VAREJISTA ESPECIALIZADO DE PEÇAS E ACESSÓRIOS PARA APARELHOS ELETROELETRÔNICOS PARA USO DOMÉSTICO, EXCETO INFORMÁTICA E COMUNICAÇÃO;VAGNER V. DA SILVA ELETRODOMESTICOS - ME;VAGNER ELETRO;71
106;BANCO DO BRASIL S/A;BANCO DO BRASIL S/A;00000000000191;00000000;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO DO BRASIL SA;DIRECAO GERAL;72
107;BANCO BMG S.A.;BANCO BMG S.A.;61186680000174;61186680;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO BMG SA;;73
110;SAO FRANCISCO SIST. DE SAUDE SOC. EMPRESARIA LTDA;SÃO FRANCISCO SAÚDE;01613433000185;01613433;6550200;PLANOS DE SAÚDE;SAO FRANCISCO SISTEMAS DE SAUDE SOCIEDADE EMPRESARIA LIMITADA;;74
111;MOOVENET;MOOVENET;22016219000111;22016219;;;;;75
112;ALEXANDER DE FREITAS NASCIMENTO;IPLUS;15345454000171;15345454;4752100;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO;ALEXANDER DE FREITAS NASCIMENTO - ME;I PLUS;76
114;BOOK PLAY COMERCIO DE LIVROS EIRELI - EPP;BOOKPLAY.COM.BR/MUNDIAL EDITORA;06943073000101;06943073;4761001;COMÉRCIO VAREJISTA DE LIVROS;RODRIGO STABILE ESCANHUELA- ME;;77
115;INACIO IRALA QUINTANA JUNIOR 04631996188 MEI;TECHCELL;26127627000100;26127627;;;;;78
116;EGALI INTERCAMBIO LTDA;EGALI INTERCAMBIO;08777465000165;08777465;7911200;AGÊNCIAS DE VIAGENS;EGALI INTERCAMBIO LTDA - EPP;EGALI;79
117;BORDEAUX FUNDO DE INVESTIMENTO EM PART. MULTI.;BORDEAUX FUNDO DE INVESTIMENTO EM PART. MULTI.;35788095000134;35788095;;;;;80
118;ADRIANO DONIZETE CARRARA;ADRIANO DONIZETE CARRARA;10473368000120;10473368;4763601;COMÉRCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS;ADRIANO DONIZETE CARRARA;;81
119;BANCO ITAÚ S/A  - (E DEMAIS PRODUTOS)  - AOP;GRUPO ITAÚ UNIBANCO - (CIP ELETRONICA);60701190000104;60701190;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;ITAU UNIBANCO S.A.;EST UNIF;82
120;MIDWAY S.A.- CREDITO, FINANCIAMENTO E INVESTIMENTO;MIDWAY S.A.- CREDITO, FINANCIAMENTO E INVESTIMENTO;09464032000112;09464032;6436100;SOCIEDADES DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO - FINANCEIRAS;MIDWAY S.A.- CREDITO, FINANCIAMENTO E INVESTIMENTO;MIDWAY;83
121;TIM CELULAR S.A.;TIM SUL;04206050000180;04206050;6120501;TELEFONIA MÓVEL CELULAR;TIM CELULAR S.A.;;84
124;INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA;INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA;11137051000186;11137051;4772500;COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;;;85
125;CENTRAIS ELETRICAS DE SANTA CATARINA S/A;CELESC;83878892000155;83878892;6462000;HOLDINGS DE INSTITUIÇÕES NÃO-FINANCEIRAS;CENTRAIS ELETRICAS DE SANTA CATARINA SA;CELESC;86
129;PLANO DE SAÚDE SÃO CAMILO;BENECICÊNCIA CAMILIANA DO SUL;83506030002900;83506030;;;;;87
130;HORFRAN COML ELETROMÓVEIS LTDA - MULTILOJA - AOP;HORFRAN COML ELETR. LTDA - MULTILOJA - (CIP ELE);02869763000107;02869763;8211300;SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO;HORFRAN - COMERCIAL ELETRO MOVEIS LTDA;;88
131;STADLER EMPREENDIMENTOS IMOBILIARIOS LTDA;ADQUIRA IMÓVEIS;81181083000164;81181083;6822600;GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA;STADLER EMPREENDIMENTOS IMOBILIARIOS LTDA - ME;ADQUIRA IMOVEIS;89
132;DINAMICA COBRANCA E CREDITO SP LTDA;DINAMICA COBRANCA E CREDITO SP LTDA;40840943000147;40840943;;;;;90
133;RENE SALDANHA JUNIOR E CIA LTDA;RENE ELETRO;76785286000120;76785286;3313901;MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS;RENE SALDANHA JUNIOR E CIA LTDA - ME;;91
134;CASON COMERCIO DE ELETRONICOS LTDA;CASON CELULARES E ACESSÓRIOS EM GERAL;27137898000281;27137898;;;;;92
135;MSC CRUZEIROS DO BRASIL LTDA;MSC CRUZEIROS DO BRASIL LTDA;05102954000129;05102954;7911200;AGÊNCIAS DE VIAGENS;MSC CRUZEIROS DO BRASIL LTDA.;;93
140;CLARO S.A.;CLARO MÓVEL;40432544000147;40432544;6120501;TELEFONIA MÓVEL CELULAR;CLARO S.A.;CLARO;94
141;JHONEY REBOUÇAS ASSISTENCIA TECNICA EIRELI;JHONEY REBOUÇAS ASSISTENCIA TECNICA EIRELI;34995633000107;34995633;;;;;95
142;FLABICAR COMÉRCIO DE VEÍCULOS LTDA;FLABICAR COMÉRCIO DE VEÍCULOS;85317071000175;85317071;4511102;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS;FLABICAR COMERCIO DE VEICULOS LTDA;;96
145;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;COELBA;15139629000194;15139629;3514000;DISTRIBUIÇÃO DE ENERGIA ELÉTRICA;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA;;97
146;BANCO DAYCOVAL S/A;BANCO DAYCOVAL S/A;62232889000190;62232889;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO DAYCOVAL S/A;;98
147;TH EMPREENDIMENTOS IMOBILIARIOS;TH EMPREENDIMENTOS IMOBILIARIOS;08927319000179;08927319;6810201;COMPRA E VENDA DE IMÓVEIS PRÓPRIOS;TH EMPREENDIMENTOS IMOBILIARIOS LTDA;;99
151;EUGENIO RAULINO KOERICH SA COMERCIO E INDUSTRIA;LOJAS KOERICH;86184074009105;86184074;4754701;COMÉRCIO VAREJISTA DE MÓVEIS;EUGENIO RAULINO KOERICH SA COMERCIO E INDUSTRIA;;100
152;ESCRITÓRIO LOJAS AVENIDAS;LOJAS AVENIDAS;00819201010773;00819201;4781400;COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;LOJAS AVENIDA LTDA;AVENIDA;101
154;PHILCO ELETRÔNICOS S/A;PHILCO;11283356000104;11283356;2759799;FABRICAÇÃO DE OUTROS APARELHOS ELETRODOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE, PEÇAS E ACESSÓRIOS;PHILCO ELETRONICOS SA;;102
155;CVC TURISMO;CVC;10760260000119;10760260;7911200;AGÊNCIAS DE VIAGENS;;;103
156;VIA VAREJO S.A;CASAS BAHIA, PONTO FRIO E EXTRA.COM;33041260065290;33041260;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;VIA VAREJO S/A;;104
157;EDESTINOS.COM.BR;EDESTINOS.COM.BR;13419034000167;13419034;7911200;AGÊNCIAS DE VIAGENS;;;105
158;BANCO J SAFRA;BANCO J SAFRA;03017677000120;03017677;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO J. SAFRA S.A;;106
159;BANCO BRADESCO CARTÕES S/A;BRADESCO CARTÕES;59438325000101;59438325;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO BRADESCO CARTOES S.A.;;107
160;ADIDAS DO BRASIL LTDA;ADIDAS DO BRASIL LTDA;42274696002561;42274696;4643501;COMÉRCIO ATACADISTA DE CALÇADOS;ADIDAS DO BRASIL LTDA;;108
165;ARTHUR LUNDGREN TECIDOS S.A;CASAS PERNAMBUCANAS;61099834000190;61099834;4755503;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;ARTHUR LUNDGREN TECIDOS S A CASAS PERNAMBUCANAS;CASAS PERNAMBUCANAS;109
166;COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE COSERN;COSERN;08324196000181;08324196;3514000;DISTRIBUIÇÃO DE ENERGIA ELÉTRICA;COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE COSERN;;110
167;TNL PCS S.A.;OI MÓVEL S.A.;05423963000111;05423963;6120501;TELEFONIA MÓVEL CELULAR;OI MOVEL S.A.;OI;111
169;LOJAS AMERICANAS S.A.- MIDWAL MALL;LOJAS AMERIACANAS S.A - MIDWAL MALL;33014556023722;33014556;4711302;COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - SUPERMERCADOS;LOJAS AMERICANAS S.A.;LOJA 226;112
174;TELEMAR NORTE LESTE S/A.;OI FIXO;33000118001655;33000118;6110801;SERVIÇOS DE TELEFONIA FIXA COMUTADA - STFC;TELEMAR NORTE LESTE S/A;OI;113
180;ASSURANT SEGURADORA S.A.;ASSURANT SEGURADORA S.A.;03823704000152;03823704;6511101;SEGUROS DE VIDA;ASSURANT SEGURADORA S.A.;;114
182;LOGA INTERNET;LOGA INTERNET;30368165000181;30368165;;;;;115
183;BRASIL STARLINK TELECOMUNICACOES LTDA - EPP;BLINK TELECOMUNICACOES;21085708000162;21085708;;;;;116
184;ELETROLUX DO BRASIL SA;ELETROLUX;76487032002683;76487032;4757100;COMÉRCIO VAREJISTA ESPECIALIZADO DE PEÇAS E ACESSÓRIOS PARA APARELHOS ELETROELETRÔNICOS PARA USO DOMÉSTICO, EXCETO INFORMÁTICA E COMUNICAÇÃO;;;117
187;BANCO SOROCRED SA BANCO MULTIPLO;SOROCRED – FINANCEIRA;04814563000174;04814563;6436100;SOCIEDADES DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO - FINANCEIRAS;SOROCRED - CREDITO, FINANCIAMENTO E INVESTIMENTO S/A;SOROCRED - FINANCEIRA;118
188;ESPIRITO SANTO CENTRAIS ELÉTRICAS S.A.;EDP - ESCELSA;28152650000171;28152650;3514000;DISTRIBUIÇÃO DE ENERGIA ELÉTRICA;ESPIRITO SANTO CENTRAIS ELETRICAS SOCIEDADE ANONIMA;ESCELSA;119
